tahun,bulan,kode_prov_baru,kode_kab_baru,jenis_akomodasi,kelas_akomodasi,room,bed,room_yesterday,room_in,room_out,wna_yesterday,wni_yesterday,wna_in,wni_in,wna_out,wni_out
2023,2,16,009,2,2,3066,5166,468,474,468,0,866,0,641,0,626
2023,2,16,10,2,2,1288,1848,236,230,220,0,230,0,224,0,226
2023,2,16,11,2,2,2184,3808,188,176,176,0,376,0,352,0,352
2023,2,16,12,2,2,1288,1764,147,140,140,0,232,0,225,0,226
2023,2,16,71,2,2,37860,48285,9575,7798,7695,0,18139,0,14847,0,14615
2023,2,16,72,2,2,2936,4632,447,432,447,0,543,0,522,0,543
2023,2,16,73,2,2,2285,3327,369,369,369,0,759,0,758,0,759
2023,2,16,74,2,2,8710,12424,1284,1277,1284,0,2452,0,2435,0,2452
2023,2,16,001,2,3,4302,7155,788,760,743,0,1445,0,1383,0,1365
2023,2,16,002,2,3,2800,4424,1124,1162,1124,0,2188,0,2264,0,2188
2023,2,16,003,2,3,2520,3080,249,254,249,0,377,0,381,0,377
2023,2,16,004,2,3,3920,7336,816,800,776,0,816,0,800,0,776
2023,2,16,006,2,3,8769,14010,3088,1305,1291,0,8345,0,2692,0,2627
2023,2,16,007,2,3,700,700,191,189,191,0,383,0,377,0,383
2023,2,16,008,2,3,840,1680,185,193,185,0,370,0,386,0,370
2023,2,16,009,2,3,3799,6703,608,610,608,0,1075,0,1081,0,1075
2023,2,16,11,2,3,1008,2128,66,68,66,0,132,0,136,0,132
2023,2,16,12,2,3,728,728,39,44,39,0,64,0,72,0,64
2023,2,16,71,2,3,24808,29792,3782,3262,3270,0,6696,0,5896,0,5788
2023,2,16,72,2,3,1932,2436,256,219,235,0,256,0,219,0,235
2023,2,16,73,2,3,2856,3080,402,405,402,0,790,0,796,0,790
2023,2,16,74,2,3,5166,8148,1042,1054,1042,0,2079,0,2103,0,2079
2023,2,16,003,2,4,1232,1232,149,146,149,0,149,0,146,0,149
2023,2,16,004,2,4,4592,8624,1637,1468,1422,4,1633,2,1466,4,1418
2023,2,16,006,2,4,1400,2800,596,225,235,0,1516,0,447,0,468
2023,2,16,007,2,4,4256,5908,455,465,455,0,897,0,917,0,897
2023,2,16,008,2,4,3696,7392,219,225,219,0,438,0,450,0,438
2023,2,16,10,2,4,1848,1848,105,98,105,0,210,0,196,0,210
2023,2,16,71,2,4,17498,22136,3006,2994,2998,0,5757,0,5724,0,5739
2023,2,16,72,2,4,2856,3976,444,204,198,0,444,0,204,0,198
2023,2,16,73,2,4,1680,3360,97,102,97,0,194,0,204,0,194
2023,2,16,74,2,4,2856,4732,278,280,278,0,546,0,550,0,546
2023,2,17,71,1,1,2408,3164,451,336,323,0,872,0,662,0,654
